timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-04-21,126.0,126.7,125.27,125.73,125.73,6725426,0.0000,1.0
2023-04-20,130.15,130.98,125.84,126.36,126.36,9749618,0.0000,1.0
2023-04-19,126.5,126.98,125.3,126.32,126.32,7014368,0.0000,1.0
2023-04-18,128.14,128.68,127.35,127.78,127.78,3193787,0.0000,1.0
2023-04-17,128.3,128.72,126.8,127.82,127.82,3657929,0.0000,1.0
2023-04-14,128.46,129.84,127.31,128.14,128.14,4180614,0.0000,1.0
2023-04-13,128.01,128.39,126.0,127.9,127.9,5621512,0.0000,1.0
2023-04-12,130.4,130.8857,128.17,128.54,128.54,3957542,0.0000,1.0
2023-04-11,130.58,131.105,130.18,130.42,130.42,3132430,0.0000,1.0
2023-04-10,129.83,131.08,129.24,131.03,131.03,2614402,0.0000,1.0
2023-04-06,132.16,132.6,130.315,130.5,130.5,3050581,0.0000,1.0
2023-04-05,131.37,132.61,131.37,132.14,132.14,2898759,0.0000,1.0
2023-04-04,131.99,132.1499,130.89,131.6,131.6,3382783,0.0000,1.0
2023-04-03,130.97,132.61,130.77,132.06,132.06,3840139,0.0000,1.0
2023-03-31,129.47,131.23,129.42,131.09,131.09,4524686,0.0000,1.0
2023-03-30,130.16,131.48,129.1,129.22,129.22,3561762,0.0000,1.0
2023-03-29,130.12,130.35,129.18,129.71,129.71,3279846,0.0000,1.0
2023-03-28,129.18,129.66,128.8,129.34,129.34,2889115,0.0000,1.0
2023-03-27,126.47,130.255,126.47,129.31,129.31,6524113,0.0000,1.0
2023-03-24,123.36,125.4,122.88,125.29,125.29,3812644,0.0000,1.0
2023-03-23,123.81,124.93,122.6,123.37,123.37,4651936,0.0000,1.0
2023-03-22,127.0,127.215,124.01,124.05,124.05,3549024,0.0000,1.0
2023-03-21,126.9,127.15,125.66,126.57,126.57,3856345,0.0000,1.0
2023-03-20,124.31,126.16,124.19,125.94,125.94,4588304,0.0000,1.0
2023-03-17,124.08,124.52,122.93,123.69,123.69,37400167,0.0000,1.0
2023-03-16,122.96,124.82,121.92,124.7,124.7,6440023,0.0000,1.0
2023-03-15,122.99,123.35,121.71,123.28,123.28,5989339,0.0000,1.0
2023-03-14,126.49,126.64,123.2,124.65,124.65,8114792,0.0000,1.0
2023-03-13,125.15,128.19,124.85,125.58,125.58,8188369,0.0000,1.0
2023-03-10,126.12,127.29,125.13,125.45,125.45,5990867,0.0000,1.0
2023-03-09,128.3,128.53,125.98,126.16,126.16,5478317,0.0000,1.0
2023-03-08,128.48,128.74,127.545,128.05,128.05,2778798,0.0000,1.0
2023-03-07,130.28,130.42,128.19,128.25,128.25,3530439,0.0000,1.0
2023-03-06,129.64,130.86,129.59,130.19,130.19,2982980,0.0000,1.0
2023-03-03,129.35,129.905,128.77,129.64,129.64,2860286,0.0000,1.0
2023-03-02,128.39,129.22,127.71,128.93,128.93,3340254,0.0000,1.0
2023-03-01,128.9,129.4726,127.74,128.19,128.19,3760678,0.0000,1.0
2023-02-28,130.55,130.61,129.14,129.3,129.3,5143133,0.0000,1.0
2023-02-27,131.42,131.87,130.13,130.49,130.49,2761326,0.0000,1.0
2023-02-24,129.62,130.67,129.22,130.57,130.57,3015907,0.0000,1.0
2023-02-23,131.5,131.7,128.86,130.79,130.79,3725648,0.0000,1.0
2023-02-22,131.9,131.99,130.29,130.97,130.97,3200185,0.0000,1.0
2023-02-21,134.0,134.385,131.66,131.71,131.71,4257210,0.0000,1.0
2023-02-17,134.5,135.58,133.89,135.02,135.02,3466184,0.0000,1.0
2023-02-16,135.57,135.9672,134.59,135.0,135.0,2965495,0.0000,1.0
2023-02-15,135.2,136.445,135.07,136.4,136.4,2507004,0.0000,1.0
2023-02-14,137.05,137.24,135.05,136.01,136.01,3202172,0.0000,1.0
2023-02-13,136.0,137.39,135.85,137.35,137.35,4403015,0.0000,1.0
2023-02-10,133.78,135.77,133.5,135.6,135.6,5049571,0.0000,1.0
2023-02-09,134.99,135.73,133.34,133.75,133.75,3918817,1.6500,1.0
2023-02-08,135.71,136.74,135.16,135.98,134.322932053176,4593748,0.0000,1.0
2023-02-07,135.67,136.4,134.45,135.84,134.184638109306,3737553,0.0000,1.0
2023-02-06,135.83,136.32,134.95,136.18,134.520494830133,4841300,0.0000,1.0
2023-02-03,136.35,136.95,135.53,136.94,135.27123338257,3755720,0.0000,1.0
2023-02-02,135.96,136.72,134.85,136.39,134.727935745938,6107793,0.0000,1.0
2023-02-01,134.49,135.79,132.8,135.09,133.443777695716,5428898,0.0000,1.0
2023-01-31,135.5,135.65,133.76,134.73,133.088164697193,7206448,0.0000,1.0
2023-01-30,134.32,136.11,133.98,135.3,133.651218611521,5375712,0.0000,1.0
2023-01-27,134.44,135.488,133.7701,134.39,132.752307976366,8143146,0.0000,1.0
2023-01-26,137.53,138.27,132.98,134.45,132.811576809453,17548483,0.0000,1.0
2023-01-25,140.47,141.03,139.36,140.76,139.044682422452,7347453,0.0000,1.0
2023-01-24,141.25,142.75,140.0,141.49,139.765786558346,4407622,0.0000,1.0
2023-01-23,141.4,142.985,141.06,141.86,140.131277695716,5898436,0.0000,1.0
